"id","hip","bf","proper","ra","dec","dist","mag","ci","con"
25846,25911,"","",5.530002,85.938528,101.5228,6.5,0.36,Cep
25853,25918,Gam Men,"",5.531318,-76.340964,31.3578,5.18,1.13,Men
25858,25923,"36Ups Ori","",5.532183,-7.301537,877.193,4.62,-0.261,Ori
25865,25930,"34Del Ori",Mintaka,5.533445,-0.299092,212.3142,2.25,-0.175,Ori
25880,25945,"119    Tau","",5.536875,18.594234,549.4505,4.32,2.06,Tau
25883,25950,"","",5.537262,17.058128,917.4312,5.5,-0.004,Tau
25908,25973,"18    Cam","",5.542707,57.221071,42.6985,6.44,0.587,Cam
25911,25976,"","",5.543883,0.011933,337.8378,6.15,1.553,Ori
25915,25980,"","",5.54482,-1.591831,478.4689,5.34,-0.188,Ori
25919,25984,"25Chi Aur","",5.545465,32.192022,100000.0,4.71,0.281,Aur
25920,25985,"11Alp Lep",Arneb,5.545504,-17.822289,680.2721,2.58,0.211,Lep
25928,25993,"","",5.547613,-38.513371,52.8262,5.45,1.224,Col
25936,26001,"","",5.549873,-64.227517,71.0227,5.34,1.039,Dor
25954,26019,"","",5.552049,-35.139376,78.9266,5.75,1.085,Col
25989,26054,"","",5.557612,32.80118,106.2699,6.5,0.094,Aur
25998,26063,"","",5.558735,-1.156073,450.4505,5.36,-0.175,Ori
25999,26064,"120    Tau","",5.558786,18.540231,476.1905,5.67,-0.022,Tau
26004,26069,Bet Dor,"",5.560421,-62.489825,308.642,3.76,0.64,Dor
26006,26071,"","",5.560616,34.72557,137.3626,6.27,0.17,Aur
26007,26072,"","",5.560788,20.474216,350.8772,6.19,-0.034,Tau
26014,26079,"","",5.562315,-54.902289,55.7103,6.42,0.55,Pic
26028,26093,"35    Ori","",5.565079,14.305578,136.7989,5.6,-0.118,Ori
26039,26104,"","",5.567353,-7.02375,160.7717,6.45,1.116,Ori
26041,26106,"","",5.567747,-1.035726,310.559,6.24,-0.16,Ori
26044,26108,"","",5.567791,-1.470253,209.6436,5.92,1.535,Ori
26061,26126,"38    Ori","",5.571326,3.766895,84.6024,5.32,0.051,Ori
26084,26149,"","",5.574802,-0.012345,294.1176,6.25,0.997,Ori
26104,26169,"","",5.579106,-73.741277,333.3333,5.79,1.717,Men
26111,26176,"37Phi1Ori","",5.580344,9.489579,333.3333,4.39,-0.157,Ori
26125,26190,"","",5.582621,-61.176048,95.3289,6.32,0.845,Dor
26132,26197,"","",5.583613,-6.00927,826.4463,5.67,-0.228,Ori
26134,26199,"","",5.584078,-6.002027,495.0495,4.78,-0.248,Ori
26142,26207,"39Lam Ori",Meissa,5.585633,9.934158,336.7003,3.39,-0.16,Ori
26150,26215,"","",5.587011,10.240093,343.6426,5.6,0.149,Ori
26154,26219,"","",5.587631,-33.079724,92.4214,5.76,1.12,Col
26155,26220,"41The1Ori","",5.587728,-5.387315,100000.0,4.98,,Ori
26156,26221,"41The1Ori","",5.587907,-5.389696,100000.0,5.13,0.02,Ori
26169,26234,"","",5.589532,-4.42432,408.1633,6.24,-0.148,Ori
26170,26235,"43The2Ori","",5.589695,-5.41606,473.9336,4.98,-0.097,Ori
26172,26237,"42    Ori","",5.589768,-4.838358,271.0027,4.58,-0.183,Ori
26176,26241,"44Iot Ori",Hatysa,5.590551,-5.909901,714.2857,2.75,-0.21,Ori
26182,26248,"121    Tau","",5.590869,24.039589,169.4915,5.37,-0.092,Tau
26198,26263,"","",5.593307,-3.25284,476.1905,6.4,-0.122,Ori
26199,26264,Iot Men,"",5.593372,-78.820839,261.7801,6.04,-0.018,Men
26203,26268,"45    Ori","",5.594301,-4.856067,110.2536,5.24,0.269,Ori
26226,26291,"","",5.59875,27.662347,236.9668,6.27,1.529,Tau
26235,26300,"","",5.600791,-47.313746,155.0388,6.1,1.159,Pic
26244,26309,"","",5.602859,-28.708015,52.7983,6.26,0.151,Col
26246,26311,"46Eps Ori",Alnilam,5.603559,-1.20192,606.0606,1.69,-0.184,Ori
26250,26315,"","",5.604432,47.71529,104.2753,6.1,0.295,Aur
26279,26344,"","",5.609784,54.428658,228.833,5.74,1.671,Aur
26280,26345,"","",5.609915,-6.064752,471.6981,5.71,-0.212,Ori
26298,26363,"","",5.61456,40.182375,100000.0,6.08,1.032,Aur
26301,26366,"40Phi2Ori","",5.615108,9.290673,36.0231,4.09,0.951,Ori
26303,26368,"","",5.615273,-66.560287,234.192,6.28,-0.052,Dor
26317,26382,"122    Tau","",5.617704,17.040324,48.5909,5.53,0.237,Tau
26321,26386,"","",5.617884,11.035005,251.8892,5.97,1.592,Ori
26329,26395,"","",5.619103,-11.775515,62.8931,6.1,0.051,Lep
26330,26394,Pi  Men,"",5.61916,-80.469122,18.315,5.65,0.6,Men
26331,26396,"","",5.619123,26.924473,154.7988,5.83,-0.075,Tau
26343,26408,"19    Cam","",5.620852,64.15469,111.2347,6.15,0.006,Cam
26345,26410,"","",5.621122,66.696692,77.7605,6.26,0.231,Cam
26347,26412,Nu 1Col,"",5.621251,-27.871362,39.3701,6.15,0.322,Col
26349,26414,"","",5.622031,8.951875,344.8276,6.11,-0.17,Ori
26362,26427,"","",5.624266,-5.938391,408.1633,6.03,-0.21,Ori
26386,26451,"123Zet Tau",Tianguan,5.627413,21.142549,136.4256,2.97,-0.148,Tau
26395,26460,Nu 2Col,"",5.629061,-28.68969,40.7997,5.28,0.486,Col
26398,26463,"","",5.62939,33.559167,154.0832,6.36,1.306,Aur
26411,26477,"","",5.631496,-4.814034,495.0495,6.16,-0.029,Ori
26422,26487,"","",5.633644,7.54142,239.2344,5.87,-0.061,Ori
26450,26515,"","",5.638172,-50.640995,154.0832,6.43,-0.047,Pic
26470,26535,"","",5.643881,-6.573959,411.5226,5.96,-0.216,Ori
26471,26536,"26    Aur","",5.643913,30.492412,173.6111,5.4,0.45,Aur
26480,26545,"","",5.645424,-40.707306,134.7709,5.81,-0.078,Col
26484,26549,"48Sig Ori","",5.645769,-2.600069,328.9474,3.77,-0.19,Ori
26497,26563,"49    Ori","",5.648079,-7.212829,44.603,4.77,0.139,Ori
26506,26571,"","",5.64927,26.618068,105.5966,6.45,0.98,Tau
26527,26592,"","",5.652417,41.358562,78.0031,6.44,1.0,Aur
26529,26594,"47Ome Ori","",5.653096,4.121467,423.7288,4.5,-0.098,Ori
26537,26602,"","",5.654507,-17.849408,473.9336,6.4,-0.095,Lep
26541,26606,"","",5.655087,29.215213,324.6753,5.98,0.144,Aur
26551,26616,"","",5.65753,21.762929,175.7469,6.42,0.066,Tau
26558,26623,"","",5.658567,-9.706628,166.9449,6.49,-0.107,Ori
26559,26624,"","",5.658653,-3.564704,42.5713,5.99,0.294,Ori
26569,26634,Alp Col,Phact,5.660817,-34.074108,80.1282,2.65,-0.12,Col
26573,26638,"","",5.662144,75.043871,215.5172,6.19,1.606,Cam
26575,26640,"125    Tau","",5.662277,25.897091,131.0616,5.18,-0.15,Tau
26584,26649,"","",5.663845,-32.629216,129.3661,5.44,0.913,Col
26647,26712,"","",5.676641,31.358197,190.4762,6.04,0.037,Aur
26648,26713,"","",5.677027,-2.825236,418.41,6.22,-0.194,Ori
26653,26718,"","",5.678347,31.920607,595.2381,6.23,2.088,Aur
26662,26727,"50Zet Ori",Alnitak,5.679313,-1.942572,225.7336,1.74,-0.199,Ori
26663,26728,"","",5.679498,-10.408664,243.309,6.46,-0.127,Ori
26671,26736,"","",5.680754,-1.128787,275.4821,4.95,-0.197,Ori
26697,26762,"","",5.684888,0.337753,47.9386,5.93,0.311,Ori
26711,26777,"126    Tau","",5.688255,16.534148,194.9318,4.84,-0.125,Tau
26714,26779,"","",5.688982,53.481058,12.2775,6.21,0.84,Aur
26716,26781,"","",5.68916,29.487418,186.2197,6.4,-0.081,Aur
26731,26796,"","",5.690812,-33.400741,153.6098,6.35,-0.04,Col
26755,26820,"","",5.694538,-2.896457,80.7103,6.41,0.32,Ori
26756,26821,"","",5.694864,-16.72583,564.9718,6.22,-0.136,Lep
26788,26853,"","",5.701107,22.660325,99.7009,6.35,1.194,Tau
26797,26862,"","",5.703217,-30.535442,226.7574,6.18,0.023,Col
26800,26865,"12    Lep","",5.703877,-22.373715,304.878,5.88,0.08,Lep
26801,26866,"","",5.704021,-17.530376,245.7002,6.15,1.376,Lep
26803,26868,"","",5.704221,-34.667812,131.406,5.29,-0.032,Col
26817,26882,"","",5.707347,65.697649,83.612,5.62,1.249,Cam
26820,26885,"51    Ori","",5.707953,1.474629,90.009,4.9,1.144,Ori
26860,26926,"","",5.714976,-6.796168,49.95,5.97,0.447,Ori
26876,26942,"24    Cam","",5.71713,56.581522,59.1716,6.05,0.951,Cam
26887,26953,"","",5.719255,-1.613248,161.2903,6.31,1.467,Ori
26898,26964,"","",5.722084,23.204372,253.8071,6.23,-0.071,Tau
26900,26966,"","",5.722686,-18.557475,75.0751,5.73,-0.014,Lep
26915,26981,"","",5.725049,-39.406908,52.7704,6.25,0.377,Col
26935,27001,"","",5.728092,-45.832864,85.034,6.38,0.295,Pic
26980,27046,"23    Cam","",5.735682,61.476536,110.9878,6.17,0.902,Cam
27006,27072,"13Gam Lep","",5.741057,-22.448382,8.927,3.59,0.481,Lep
27009,27075,"","",5.741221,-20.126573,25.5428,6.34,0.58,Lep
27034,27100,Del Dor,"",5.746223,-65.735526,45.8716,4.34,0.217,Dor
27050,27116,"","",5.750358,12.888332,108.5776,6.47,0.234,Tau
27052,27118,"","",5.750498,4.008111,58.8582,6.09,0.32,Ori
27098,27164,"","",5.758221,31.324825,230.9469,6.5,1.1,Aur
27130,27196,"27Omi Aur","",5.765012,49.826255,126.7427,5.46,0.03,Aur
27138,27204,Mu  Col,"",5.766637,-32.306435,408.1633,5.18,-0.274,Col
27146,27212,"","",5.767463,-4.268484,111.4827,6.24,1.05,Ori
27177,27243,"","",5.77427,-46.59718,143.8849,5.31,1.04,Pic
27183,27249,"26    Cam","",5.775106,56.115575,60.7903,5.93,0.164,Cam
27187,27253,"","",5.776364,1.168193,39.2773,5.95,0.773,Ori
27198,27265,"129    Tau","",5.779305,15.822497,225.2252,6.0,-0.061,Tau
27212,27280,"","",5.781149,9.522343,91.3242,5.78,0.888,Ori
27220,27288,"14Zet Lep","",5.782595,-14.82195,21.6076,3.55,0.104,Lep
27225,27293,"","",5.783346,51.520871,155.7632,6.47,0.898,Aur
27236,27303,"","",5.784605,-28.638913,230.4147,6.22,-0.132,Col
27240,27308,"","",5.785501,-16.238079,223.7136,6.18,0.892,Lep
27248,27316,"131    Tau","",5.786987,14.488322,104.1667,5.72,0.077,Tau
27249,27317,"","",5.787036,-54.360728,381.6794,6.19,1.406,Pic
27251,27319,"","",5.787412,42.526748,180.1802,6.3,1.354,Aur
27253,27321,Bet Pic,"",5.788079,-51.066514,19.4401,3.85,0.171,Pic
27257,27325,"","",5.788524,-35.674075,162.6016,6.29,1.191,Col
27270,27338,"130    Tau","",5.79061,17.729141,546.4481,5.47,0.301,Tau
27273,27341,"","",5.790803,-10.532958,204.918,6.04,0.135,Ori
27278,27346,"","",5.792291,63.598848,145.7726,6.49,1.01,Cam
27285,27353,"","",5.792963,25.568623,250.0,6.48,1.193,Tau
27296,27364,"133    Tau","",5.795252,13.899599,194.1748,5.28,-0.156,Tau
27298,27366,"53Kap Ori",Saiph,5.795941,-9.669605,198.4127,2.07,-0.168,Ori
27318,27386,"52    Ori","",5.800065,6.454156,165.0165,5.26,0.234,Ori
27353,27421,"","",5.806213,20.869481,167.5042,6.03,-0.051,Tau
27367,27435,"","",5.809706,-4.094648,15.1768,5.97,0.639,Ori
27399,27468,"132    Tau","",5.816935,24.567535,111.4827,4.88,1.021,Tau
