pl_name,hostname,hip,hd,snum,sy_dist,ra,dec,st_spectype,st_teff,st_rad,st_mass,st_lum,pl_orbsmax,pl_orbper,pl_orbeccen,pl_rade,pl_bmasse,pl_eqt,method,year
GJ 143 b,GJ 143,16069,21749,1,16.32,51.75019,-63.50017,K4.5,4640,0.695,0.73,-0.6862,0.1915,35.61253,0.188,2.61,22.7,422,Transit,2019
HD 23472 b,HD 23472,17264,23472,1,39.034,55.45903,-62.76727,K4 V,4684,0.71,0.67,-0.6252,0.1162,17.66709,0.072,2,8.32,543,Transit,2019
HD 23472 c,HD 23472,17264,23472,1,39.034,55.45903,-62.76727,K4 V,4684,0.71,0.67,-0.6252,0.1646,29.79749,0.063,1.87,3.41,467,Transit,2019
KMT-2016-BLG-1107L b,KMT-2016-BLG-1107L,,,1,6651,266.41775,-26.0318,,,,0.087,,0.342,,,,1043,,Microlensing,2019
HD 219666 b,HD 219666,,219666,1,94.172,349.55927,-56.90399,,5540,1.059,1.02,,,6.03447,0.05,4.898,17.6,1076,Transit,2018
HD 1397 b,HD 1397,1419,1397,1,79.57,4.44716,-66.35893,,5521,2.336,1.324,0.6599,0.1097,11.53533,0.251,11.5,131.899,1228,Transit,2018
GJ 411 b,GJ 411,54035,95735,1,5.676,165.83447,35.97232,,3719,0.368,0.39,,0.07879,12.9394,0.063,,2.69,,Radial Velocity,2019
WASP-190 b,WASP-190,,,1,542.251,7.70953,-40.57346,F6 IV-V,6400,1.6,1.35,,0.0663,5.36775,0,12.89,317.83,1500,Transit,2019
Gl 378 b,Gl 378,49189,,1,14.954,150.58655,48.08245,M1,3879,0.56,0.56,-1.2219,0.03943,3.822,0.109,,13.02,830,Radial Velocity,2019
PDS 70 b,PDS 70,,,1,113.064,212.04214,-41.39804,,4109,,0.982,,20.8,,0.17,21.97,1017.051,1392,Imaging,2018
Kepler-270 b,Kepler-270,,,1,948.781,282.20012,44.42228,,6067,1.461,,,0.107,11.47609,,2.01,,,Transit,2014
KMT-2017-BLG-1038L b,KMT-2017-BLG-1038L,,,1,6000,266.17092,-25.14303,,,,0.37,,1.8,,,,640,,Microlensing,2019
KMT-2017-BLG-1146L b,KMT-2017-BLG-1146L,,,1,6500,269.10583,-33.14247,,,,0.33,,1.6,,,,230,,Microlensing,2019
Gl 686 b,Gl 686,86287,,1,8.157,264.47649,18.59595,,3656,0.427,0.426,-1.53,0.091,15.53,0.05,,6.624,,Radial Velocity,2018
